pid,replicate,pl,a,b,rmse,r_squared,tm_pred
F2Z6G3,REP2,,,,,,
F2Z6H9,REP1,0.216501,873.640987,11.129301,0.1307,0.7386,82.72
F2Z6H9,REP2,0.272649,2564.766526,32.468522,0.1058,0.8783,80.96
P23112,REP1,-0.422027,1316.585953,12.851936,0.4909,0.2296,97.79
P39464,REP3,-0.08352,889.536229,9.923407,0.2245,0.6372,88.27
P46218,REP3,0.140028,769.048597,10.270722,0.1713,0.5956,77.35
Q07271,REP3,-0.138976,678.789689,8.116317,0.0946,0.8929,81.18
Q4J6E1,REP3,-0.036389,527.486311,6.269838,0.1062,0.784,83.2
Q4J6E9,REP3,0.403812,399163.878764,5792.443587,0.0924,0.7608,68.93
Q4J6F3,REP1,-2.151216,315.885819,2.268383,0.166,0.654,80.24
Q4J6G3,REP2,-1045.750361,531.205851,-1.838611,0.1078,0.8547,91.47
Q4J6H9,REP1,-0.139658,1148.145357,13.781989,0.1311,0.8843,81.84
Q4J6I5,REP2,-317.009865,537.515136,-0.307487,0.2638,0.6344,87.46
Q4J6J7,REP1,-1102.0814,378.674575,-3.369024,0.1307,0.7833,87.46
Q4J6L7,REP2,-1119.803214,443.344749,-3.215473,0.0881,0.7623,98.54
Q4J6P2,REP2,0.640849,298164.046885,4315.845309,0.1417,0.3291,69.68
Q4J6P5,REP3,,,,,,
Q4J6R1,REP3,-324.713689,413.893045,-1.643632,0.1439,0.8142,85.62
Q4J6S5,REP2,0.578943,737.513026,9.77621,0.1256,0.3945,100.0
Q4J6T1,REP2,,,,,,
Q4J6W2,REP1,-0.645605,853.471694,8.966989,0.1994,0.7541,87.12
Q4J6Z4,REP1,0.665988,3773.317419,54.031877,0.1677,0.181,100.0
Q4J707,REP3,-488.642415,198.403603,-4.342046,0.1785,0.5167,78.0
Q4J715,REP1,-1134.065755,316.3858,-4.748126,0.1191,0.4408,100.0
Q4J724,REP3,,,,,,
Q4J735,REP3,0.421732,842.740506,11.271787,0.1867,0.3545,89.49
Q4J747,REP2,-589.606474,375.986839,-2.756328,0.1121,0.8342,87.09
Q4J764,REP3,0.457878,243891.663222,3534.483025,0.1482,0.5055,69.05
Q4J770,REP3,0.585001,1999.610798,27.67641,0.2028,0.2576,100.0
Q4J785,REP1,-1352.584544,761.941669,-0.025576,0.2421,0.3437,96.72
Q4J792,REP3,-1092.659915,319.260828,-4.794127,0.1796,0.1825,100.0
Q4J799,REP3,-0.58763,555.123724,6.213828,0.1052,0.8931,79.41
Q4J7A5,REP2,0.270416,1667.898944,18.99349,0.2564,0.5287,91.57
Q4J7D6,REP2,,,,,,
Q4J7E5,REP1,-1051.530864,479.403086,-2.691513,0.2628,0.308,96.65
Q4J7H1,REP1,,,,,,
Q4J7J5,REP1,,,,,,
Q4J7J5,REP2,1.485202,-5802.280425,-80.188256,0.6091,0.0843,100.0
Q4J7K2,REP2,-234.372367,310.334964,-3.368601,0.2639,0.1173,100.0
Q4J7L0,REP2,0.273201,1091.496451,11.980282,0.1835,0.5492,97.54
Q4J7M3,REP3,-0.254569,855.652209,10.25556,0.2106,0.7279,80.21
Q4J7M4,REP3,0.109792,1326.712225,18.355696,0.1326,0.771,73.27
Q4J7N0,REP2,0.719613,1770.765028,24.930278,0.1371,0.216,100.0
Q4J7P2,REP2,0.641051,26333.999581,282.029837,0.3762,0.2078,100.0
Q4J7Q1,REP3,-1.833477,494.412311,4.429197,0.1142,0.8853,82.82
Q4J7Q4,REP1,,,,,,
Q4J7R1,REP3,-2169.464684,367.750052,-3.997779,0.13,0.8197,84.0
Q4J7R9,REP1,0.202296,4572.348576,53.064936,0.3761,0.4918,87.02
Q4J7T8,REP3,0.189521,823.543747,10.419914,0.1588,0.6686,82.82
Q4J7U2,REP1,0.642048,267994.082308,3885.984172,0.1439,0.3208,69.62
Q4J7U7,REP1,,,,,,
Q4J7V6,REP1,,,,,,
Q4J7W7,REP3,0.10872,671.94892,8.549409,0.1858,0.5624,80.92
Q4J7X7,REP1,-0.000125,20207.679847,223.265657,0.1506,0.8716,90.51
Q4J7Y3,REP2,0.173852,53940.550336,578.400234,0.127,0.8868,93.33
Q4J7Z6,REP3,0.410652,665.382882,8.696929,0.109,0.6079,95.4
Q4J819,REP1,-1322.745535,592.862076,-1.261246,0.181,0.751,89.56
Q4J840,REP3,0.384027,36759.750524,503.839851,0.2965,0.3296,73.17
Q4J842,REP1,2.823123,-36362.415721,-389.66602,1.0948,0.311,100.0
Q4J843,REP1,-1231.592161,310.495176,-4.073479,0.1546,0.7187,83.11
Q4J843,REP2,-651.936647,249.570478,-4.112417,0.2197,0.4794,81.52
Q4J846,REP3,-30.806142,14.614665,-3.857025,0.3434,0.0013,52.21
Q4J847,REP1,-0.165588,884.396892,10.553433,0.1253,0.8706,81.59
Q4J860,REP3,-2072.502336,383.571219,-3.755319,0.1122,0.8773,83.85
Q4J864,REP3,0.173007,398405.249991,5781.23723,0.1174,0.7913,68.92
Q4J869,REP3,0.432129,3883.862677,55.337956,0.1525,0.4928,72.81
Q4J879,REP2,0.102731,1052.658235,12.819411,0.1988,0.6423,83.61
Q4J8B6,REP1,0.639331,681.268719,8.877446,0.1788,0.1729,100.0
Q4J8C1,REP1,-1161.08809,298.375157,-4.405758,0.1993,0.4581,89.2
Q4J8C5,REP2,-0.219669,2140.299777,22.929862,0.5274,0.4531,91.88
Q4J8C6,REP2,-2078.37318,632.862216,-1.347189,0.1326,0.8339,90.6
Q4J8C7,REP3,-0.143385,721.678737,9.261133,0.1062,0.8765,75.86
Q4J8D3,REP1,-0.962081,508.257265,4.99149,0.0962,0.8934,83.81
Q4J8E4,REP3,0.291925,493.990217,5.411386,0.2427,0.1936,100.0
Q4J8I6,REP1,-2181.554991,570.277125,-2.151305,0.1742,0.6965,91.54
Q4J8R6,REP3,0.255442,8415.689481,91.221642,0.0903,0.921,92.98
Q4J8X4,REP3,-0.339594,563.029025,6.678498,0.1154,0.8494,78.23
Q4J8Y8,REP3,-0.448994,581.12763,6.71815,0.1083,0.8839,78.97
Q4J910,REP1,-2127.256881,487.961046,-3.046864,0.1599,0.6576,91.91
Q4J916,REP1,-567.731859,243.921804,-4.982371,0.1362,0.2475,100.0
Q4J917,REP3,0.07788,1572.845203,21.764391,0.0992,0.8785,72.83
Q4J928,REP1,-1302.57897,1707.874407,9.880331,0.1958,0.6364,96.24
Q4J931,REP3,0.364118,883.495015,12.700017,0.158,0.3743,77.52
Q4J942,REP3,-0.102823,382.157486,4.562446,0.1447,0.5591,80.46
Q4J959,REP1,0.637647,1030.947054,15.251679,0.2464,0.0464,100.0
Q4J963,REP1,-0.141081,985.725489,10.658727,0.1242,0.8314,90.37
Q4J970,REP2,-349.342412,460.709445,-1.402163,0.1031,0.8717,89.48
Q4J979,REP2,0.184545,5568.816781,64.970462,0.0979,0.9172,86.33
Q4J979,REP3,-0.374939,432.897808,4.718025,0.1557,0.6469,82.03
Q4J9A7,REP2,-0.149253,815.749841,10.020105,0.1354,0.8392,79.34
Q4J9B2,REP2,-0.157517,1119.364536,13.373191,0.1613,0.8277,82.02
Q4J9B8,REP1,-0.55742,634.46681,7.054557,0.0921,0.9257,81.31
Q4J9C5,REP2,-675.701252,300.829015,-4.179442,0.0866,0.6995,99.28
Q4J9D0,REP1,-2175.966548,258.36107,-5.190078,0.2243,0.4822,81.03
Q4J9G5,REP2,-472.097203,693.914055,0.159654,0.2218,0.4016,98.97
Q4J9M6,REP2,-1146.459787,640.272941,-0.554984,0.1138,0.9015,89.14
Q4J9M9,REP1,-964.653374,365.716678,-4.10112,0.0975,0.5539,100.0
Q4J9N5,REP1,-2519.59458,529.844826,-2.484182,0.1528,0.8053,87.71
Q4J9P1,REP2,-1095.823908,627.661319,-0.6989,0.0954,0.9202,89.74
Q4J9P3,REP1,-0.540498,803.95613,8.433102,0.1398,0.8307,87.71
Q4J9P6,REP3,0.137555,435.535407,5.179089,0.1007,0.6701,89.67
Q4J9Q8,REP1,-0.016395,1934.201698,20.619479,0.2778,0.6105,93.66
Q4J9R2,REP3,0.216755,584.165138,8.000879,0.1433,0.525,78.6
Q4J9U5,REP3,-1.497286,491.276648,4.625883,0.1128,0.8876,81.73
Q4J9V7,REP1,-1.37406,556.063479,5.413186,0.1653,0.8025,82.57
Q4J9W6,REP2,-1.296439,627.564593,5.924593,0.1002,0.905,87.12
Q4J9X0,REP3,-228.505592,4857.366955,42.527305,0.4517,0.087,99.83
Q4J9Y1,REP3,-0.774033,773.756427,8.10642,0.2271,0.6888,85.58
Q4J9Y5,REP2,-0.178235,949.478658,11.470898,0.1,0.9242,80.63
Q4J9Z7,REP3,-0.080524,750.829951,9.078852,0.1247,0.8349,81.36
Q4JA17,REP3,0.337971,42373.651442,471.952768,0.1515,0.7827,90.0
Q4JA26,REP3,0.150294,1119.180896,13.706479,0.126,0.8225,83.84
Q4JA52,REP3,-0.237966,594.41754,7.297415,0.1124,0.8511,77.33
Q4JA56,REP1,-1045.284203,232.769781,-4.699206,0.2406,0.4341,79.0
Q4JA58,REP1,,,,,,
Q4JA64,REP2,0.367806,1118.068551,13.26767,0.1423,0.6934,93.66
Q4JA74,REP3,0.345361,1764.582667,25.325443,0.1699,0.402,73.06
Q4JA81,REP2,-1.537317,551.627769,5.102416,0.0906,0.9247,84.77
Q4JA83,REP3,-0.010327,576.345585,6.82298,0.1165,0.7688,84.22
Q4JA91,REP3,-1.115844,468.182073,4.670573,0.1131,0.8744,80.12
Q4JAA1,REP1,-0.063896,980.178154,11.284336,0.1098,0.8862,85.95
Q4JAB2,REP1,0.842503,46216.579438,516.682792,0.188,0.1835,96.07
Q4JAB3,REP1,-543.107477,177.064634,-5.120061,0.1736,0.2765,94.62
Q4JAC2,REP2,,,,,,
Q4JAC3,REP1,-1494.004271,729.936636,-0.216007,0.1352,0.7818,93.74
Q4JAC6,REP3,-239.280206,-102.505107,-8.738596,0.3345,0.0012,39.95
Q4JAC7,REP2,0.522895,21667.289654,269.407895,0.257,0.5411,93.11
Q4JAD2,REP3,,,,,,
Q4JAF3,REP1,-0.212829,594.089275,7.024773,0.1039,0.862,80.51
Q4JAG3,REP1,,,,,,
Q4JAG4,REP1,-493.061069,465.107623,-1.621232,0.1151,0.8638,88.2
Q4JAH1,REP2,-0.105967,1061.496092,12.792052,0.0862,0.9412,81.75
Q4JAI1,REP1,0.141185,1189.026841,15.621675,0.0591,0.9567,77.77
Q4JAI2,REP1,-1369.256874,245.531653,-4.753449,0.1489,0.7214,77.65
Q4JAK2,REP1,0.497492,1117.844507,15.775553,0.1685,0.3193,100.0
Q4JAK2,REP3,0.455797,1230.113643,16.82696,0.0998,0.7009,85.42
Q4JAK4,REP2,-0.074107,987.416169,11.419058,0.0893,0.922,85.44
Q4JAK9,REP1,,,,,,
Q4JAL9,REP3,0.061001,835.424902,10.958658,0.1181,0.817,77.15
Q4JAM4,REP2,-618.327001,397.300925,-2.711509,0.1578,0.6817,90.1
Q4JAN1,REP1,-190.613635,243.766647,-4.295653,0.2017,0.0653,100.0
Q4JAP1,REP1,0.050854,1131.724508,14.847482,0.1352,0.8249,76.78
Q4JAP2,REP3,-2277.761288,365.989551,-4.159503,0.1096,0.8428,85.82
Q4JAP4,REP3,-0.041953,1164.200752,15.417398,0.0895,0.927,75.12
Q4JAR2,REP1,-363.897059,336.930937,-2.453457,0.1965,0.6945,81.42
Q4JAS6,REP2,0.271639,47840.898653,671.221895,0.388,0.3867,71.36
Q4JAT1,REP3,-2494.84589,444.763579,-3.723081,0.151,0.6189,92.81
Q4JAT7,REP2,0.052077,3569.260089,41.155389,0.1007,0.9461,86.96
Q4JAU0,REP1,-3.9347,593.097493,4.64327,0.0791,0.9492,86.89
Q4JAV1,REP1,0.05949,1468.742533,17.627201,0.1098,0.8977,83.93
Q4JAV3,REP2,-541.256596,1244.660414,5.746391,0.1759,0.4582,97.74
Q4JAW7,REP2,0.492665,3667.603981,45.302845,0.0809,0.8884,89.28
Q4JB17,REP2,0.035246,4478.770046,54.397804,0.1255,0.9028,82.44
Q4JB50,REP2,-0.028541,1253.355431,16.111951,0.061,0.9697,77.52
Q4JBA2,REP3,0.037998,2211.051657,31.077668,0.1478,0.7584,71.33
Q4JBA5,REP2,0.005083,56747.664625,606.275846,0.2303,0.7814,93.6
Q4JBB7,REP2,,,,,,
Q4JBB8,REP1,,,,,,
Q4JBC9,REP2,0.494816,42217.353333,516.775443,0.1617,0.7065,82.42
Q4JBE1,REP2,,,,,,
Q4JBG0,REP1,-1.617351,792.115797,7.626046,0.1974,0.7619,87.34
Q4JBG1,REP3,-0.235725,732.667293,9.012951,0.1353,0.8403,77.95
Q4JBG3,REP1,-0.082862,706.241948,8.856,0.1271,0.8152,78.39
Q4JBJ5,REP1,0.037409,14199.279376,144.493015,0.3766,0.3404,98.32
Q4JBK3,REP1,0.309438,730.040344,9.029535,0.2437,0.3406,90.52
Q4JBL8,REP3,0.657954,284530.472545,4126.258423,0.0659,0.673,69.57
Q4JBM2,REP3,-1629.842853,269.938973,-4.773046,0.1384,0.7317,81.39
Q4JBM4,REP1,-539.423883,112.666129,-5.901911,0.2499,0.0638,100.0
Q4JBM6,REP1,-41.536649,390.193388,-0.086778,0.1198,0.783,89.8
Q4JBR0,REP2,0.235513,1211.670511,15.925332,0.1159,0.8302,79.25
Q4JBR8,REP1,-0.637986,1182.933329,12.185902,0.2071,0.7437,90.94
Q4JBT0,REP1,0.092283,1350.643673,14.580889,0.1253,0.8052,93.95
Q4JBT3,REP1,-209.38613,398.851364,-1.562852,0.1026,0.8453,89.09
Q4JBT5,REP2,-0.239399,748.040172,8.722917,0.0836,0.9318,82.07
Q4JBT8,REP1,-0.119973,1026.784907,12.165385,0.1112,0.9024,82.94
Q4JBU5,REP1,-281.302335,119.781857,-4.480423,0.2793,0.2068,64.61
Q4JBV4,REP3,-527.490116,229.758925,-4.173471,0.1203,0.7095,82.39
Q4JBY5,REP1,,,,,,
Q4JBY8,REP3,-515.08563,180.269462,-5.026463,0.1301,0.4195,94.28
Q4JBZ2,REP2,-0.599182,761.05213,7.871176,0.0831,0.9299,87.89
Q4JBZ4,REP1,-1.109324,618.628523,5.91768,0.1171,0.8634,87.3
Q4JBZ7,REP1,-141.652059,351.506625,-1.805928,0.1959,0.4867,91.44
Q4JBZ8,REP2,0.016219,33521.767864,359.068801,0.3785,0.6565,93.37
Q4JBZ9,REP3,0.072711,1287.823469,17.512443,0.084,0.9139,74.2
Q4JC28,REP2,-1703.19461,502.573049,-2.692226,0.2475,0.4429,92.36
Q4JC67,REP2,-2005.904753,394.815141,-3.845964,0.1182,0.7989,88.7
Q4JC71,REP1,-1798.009968,471.783629,-3.331447,0.0989,0.7307,97.15
Q4JC74,REP1,-1479.666362,373.236417,-4.033702,0.1132,0.6994,94.27
Q4JC82,REP3,-0.277681,427.48365,4.672289,0.1705,0.5714,83.59
Q4JC83,REP1,-2134.515353,425.033997,-3.466167,0.1084,0.8698,86.86
Q4JCA7,REP1,-0.40459,1358.502147,14.230069,0.3172,0.5944,91.65
Q4JCB0,REP3,0.359056,41661.890004,464.090059,0.1692,0.7323,90.02
Q4JCF0,REP3,0.053498,1979.169879,27.122572,0.138,0.8282,73.28
Q4JCF3,REP2,-0.067655,1249.455819,14.8199,0.0415,0.9873,83.59
Q4JCH3,REP3,0.586442,21138.626029,291.302954,0.1711,0.5486,82.98
Q4JCK6,REP2,0.262041,7243.961762,78.323506,0.1224,0.8814,93.37
Q4JCM2,REP1,-1055.088745,245.719106,-5.405643,0.0956,0.4755,100.0
Q9P9M0,REP3,-1223.886444,347.258733,-3.599057,0.105,0.8839,82.6
